,director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,actor_3_name,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
0,James Cameron,178.0,855.0,Joel David Moore,1000.0,760505847.0,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Wes Studi,USA,PG-13,237000000.0,936.0,7.9,33000.0
3,Christopher Nolan,164.0,23000.0,Christian Bale,27000.0,448130642.0,Action|Thriller,Tom Hardy,Joseph Gordon-Levitt,USA,PG-13,250000000.0,23000.0,8.5,164000.0
5,Andrew Stanton,132.0,530.0,Samantha Morton,640.0,73058679.0,Action|Adventure|Sci-Fi,Daryl Sabara,Polly Walker,USA,PG-13,263700000.0,632.0,6.6,24000.0
7,Nathan Greno,100.0,284.0,Donna Murphy,799.0,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,M.C. Gainey,USA,PG,260000000.0,553.0,7.8,29000.0
8,Joss Whedon,141.0,19000.0,Robert Downey Jr.,26000.0,458991599.0,Action|Adventure|Sci-Fi,Chris Hemsworth,Scarlett Johansson,USA,PG-13,250000000.0,21000.0,7.5,118000.0
10,Zack Snyder,183.0,2000.0,Lauren Cohan,15000.0,330249062.0,Action|Adventure|Sci-Fi,Henry Cavill,Alan D. Purwin,USA,PG-13,250000000.0,4000.0,6.9,197000.0
13,Gore Verbinski,151.0,1000.0,Orlando Bloom,40000.0,423032628.0,Action|Adventure|Fantasy,Johnny Depp,Jack Davenport,USA,PG-13,225000000.0,5000.0,7.3,5000.0
14,Gore Verbinski,150.0,1000.0,Ruth Wilson,40000.0,89289910.0,Action|Adventure|Western,Johnny Depp,Tom Wilkinson,USA,PG-13,215000000.0,2000.0,6.5,48000.0
15,Zack Snyder,143.0,748.0,Christopher Meloni,15000.0,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Harry Lennix,USA,PG-13,225000000.0,3000.0,7.2,118000.0
17,Joss Whedon,173.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Action|Adventure|Sci-Fi,Chris Hemsworth,Scarlett Johansson,USA,PG-13,220000000.0,21000.0,8.1,123000.0
18,Rob Marshall,136.0,1000.0,Sam Claflin,40000.0,241063875.0,Action|Adventure|Fantasy,Johnny Depp,Stephen Graham,USA,PG-13,250000000.0,11000.0,6.7,58000.0
19,Barry Sonnenfeld,106.0,718.0,Michael Stuhlbarg,10000.0,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Nicole Scherzinger,USA,PG-13,225000000.0,816.0,6.8,40000.0
21,Marc Webb,153.0,963.0,Andrew Garfield,15000.0,262030663.0,Action|Adventure|Fantasy,Emma Stone,Chris Zylka,USA,PG-13,230000000.0,10000.0,7.0,56000.0
22,Ridley Scott,156.0,738.0,William Hurt,891.0,105219735.0,Action|Adventure|Drama|History,Mark Addy,Scott Grimes,USA,PG-13,200000000.0,882.0,6.7,17000.0
23,Peter Jackson,186.0,773.0,Adam Brown,5000.0,258355354.0,Adventure|Fantasy,Aidan Turner,James Nesbitt,USA,PG-13,225000000.0,972.0,7.9,83000.0
26,James Cameron,194.0,794.0,Kate Winslet,29000.0,658672302.0,Drama|Romance,Leonardo DiCaprio,Gloria Stuart,USA,PG-13,200000000.0,14000.0,7.7,26000.0
27,Anthony Russo,147.0,11000.0,Scarlett Johansson,21000.0,407197282.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Chris Evans,USA,PG-13,250000000.0,19000.0,8.2,72000.0
28,Peter Berg,131.0,627.0,Alexander Skarsgård,14000.0,65173160.0,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Tadanobu Asano,USA,PG-13,209000000.0,10000.0,5.9,44000.0
29,Colin Trevorrow,124.0,1000.0,Judy Greer,3000.0,652177271.0,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Omar Sy,USA,PG-13,150000000.0,2000.0,7.0,150000.0
32,Shane Black,195.0,3000.0,Jon Favreau,21000.0,408992272.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Don Cheadle,USA,PG-13,200000000.0,4000.0,7.2,95000.0
33,Tim Burton,108.0,11000.0,Alan Rickman,40000.0,334185206.0,Adventure|Family|Fantasy,Johnny Depp,Anne Hathaway,USA,PG,200000000.0,25000.0,6.5,24000.0
35,Dan Scanlon,104.0,760.0,Tyler Labine,12000.0,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Sean Hayes,USA,G,200000000.0,779.0,7.3,44000.0
37,Michael Bay,165.0,808.0,Sophia Myles,974.0,245428137.0,Action|Adventure|Sci-Fi,Bingbing Li,Kelsey Grammer,USA,PG-13,210000000.0,956.0,5.7,56000.0
38,Sam Raimi,130.0,11000.0,Mila Kunis,44000.0,234903076.0,Adventure|Family|Fantasy,Tim Holmes,James Franco,USA,PG,215000000.0,15000.0,6.4,60000.0
39,Marc Webb,142.0,825.0,Andrew Garfield,15000.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,B.J. Novak,USA,PG-13,200000000.0,10000.0,6.7,41000.0
40,Joseph Kosinski,125.0,1000.0,Olivia Wilde,12000.0,172051787.0,Action|Adventure|Sci-Fi,Jeff Bridges,James Frain,USA,PG,170000000.0,10000.0,6.8,30000.0
41,John Lasseter,106.0,776.0,Thomas Kretschmann,1000.0,191450875.0,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Eddie Izzard,USA,G,200000000.0,919.0,6.3,10000.0
42,Martin Campbell,123.0,326.0,Temuera Morrison,16000.0,116593191.0,Action|Adventure|Sci-Fi,Ryan Reynolds,Taika Waititi,USA,PG-13,200000000.0,368.0,5.6,24000.0
43,Lee Unkrich,103.0,721.0,John Ratzenberger,15000.0,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Don Rickles,USA,G,200000000.0,1000.0,8.3,30000.0
45,James Wan,140.0,14000.0,Paul Walker,26000.0,350034110.0,Action|Crime|Thriller,Jason Statham,Vin Diesel,USA,PG-13,190000000.0,23000.0,7.2,94000.0
46,Marc Forster,123.0,1000.0,Brad Pitt,17000.0,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,Mireille Enos,USA,PG-13,190000000.0,11000.0,7.0,129000.0
47,Bryan Singer,149.0,20000.0,Peter Dinklage,34000.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,Hugh Jackman,USA,PG-13,200000000.0,22000.0,8.0,82000.0
48,J.J. Abrams,132.0,928.0,Bruce Greenwood,19000.0,228756232.0,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Noel Clarke,USA,PG-13,190000000.0,981.0,7.8,92000.0
49,Bryan Singer,114.0,140.0,Ewen Bremner,979.0,65171860.0,Adventure|Fantasy,Eddie Marsan,Ralph Brown,USA,PG-13,195000000.0,557.0,6.3,22000.0
51,Mike Newell,116.0,236.0,Richard Coyle,15000.0,90755643.0,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Reece Ritchie,USA,PG-13,200000000.0,567.0,6.6,23000.0
52,Guillermo del Toro,131.0,919.0,Clifton Collins Jr.,16000.0,101785482.0,Action|Adventure|Sci-Fi,Charlie Hunnam,Larry Joe Campbell,USA,PG-13,190000000.0,968.0,7.0,83000.0
53,Michael Bay,154.0,581.0,Lester Speight,894.0,352358779.0,Action|Adventure|Sci-Fi,Glenn Morshower,Kevin Dunn,USA,PG-13,195000000.0,829.0,6.3,46000.0
54,Steven Spielberg,122.0,1000.0,Ray Winstone,11000.0,317011114.0,Action|Adventure|Fantasy,Harrison Ford,Jim Broadbent,USA,PG-13,185000000.0,1000.0,6.2,5000.0
56,Mark Andrews,93.0,838.0,John Ratzenberger,2000.0,237282182.0,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Julie Walters,USA,PG,185000000.0,1000.0,7.2,39000.0
57,Justin Lin,122.0,105.0,Melissa Roxburgh,998.0,130468626.0,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Lydia Wilson,USA,PG-13,185000000.0,119.0,7.5,30000.0
58,Andrew Stanton,98.0,522.0,Fred Willard,1000.0,223806889.0,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,Jeff Garlin,USA,G,180000000.0,729.0,8.4,16000.0
60,Roland Emmerich,158.0,310.0,Liam James,1000.0,166112167.0,Action|Adventure|Sci-Fi,Oliver Platt,Tom McCarthy,USA,PG-13,200000000.0,468.0,5.8,13000.0
62,Lana Wachowski,127.0,13000.0,Mila Kunis,17000.0,47375327.0,Action|Adventure|Sci-Fi,Channing Tatum,Eddie Redmayne,USA,PG-13,176000000.0,15000.0,5.4,44000.0
63,David Yates,110.0,103.0,Alexander Skarsgård,11000.0,124051759.0,Action|Adventure|Drama|Romance,Christoph Waltz,Casper Crump,USA,PG-13,180000000.0,10000.0,6.6,29000.0
65,Bryan Singer,144.0,1000.0,Michael Fassbender,34000.0,154985087.0,Action|Adventure|Sci-Fi,Jennifer Lawrence,Tye Sheridan,USA,PG-13,178000000.0,13000.0,7.3,54000.0
66,Christopher Nolan,152.0,11000.0,Heath Ledger,23000.0,533316061.0,Action|Crime|Drama|Thriller,Christian Bale,Morgan Freeman,USA,PG-13,185000000.0,13000.0,9.0,37000.0
67,Pete Docter,96.0,262.0,Delroy Lindo,1000.0,292979556.0,Adventure|Animation|Comedy|Family,John Ratzenberger,Jess Harnell,USA,PG,175000000.0,848.0,8.3,27000.0
69,Jon Favreau,126.0,4000.0,Jeff Bridges,21000.0,318298180.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Jon Favreau,USA,PG-13,140000000.0,12000.0,7.9,10000.0
70,Martin Scorsese,126.0,1000.0,Christopher Lee,17000.0,73820094.0,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Ray Winstone,USA,PG,170000000.0,16000.0,7.5,42000.0
73,David Ayer,123.0,329.0,Robin Atkin Downes,10000.0,161087183.0,Action|Adventure|Comedy|Sci-Fi,Will Smith,Ike Barinholtz,USA,PG-13,175000000.0,336.0,6.9,80000.0
74,Tom Shadyac,96.0,7000.0,Morgan Freeman,87000.0,100289690.0,Comedy|Family|Fantasy,Jimmy Bennett,Steve Carell,USA,PG,175000000.0,11000.0,5.4,2000.0
75,Doug Liman,113.0,509.0,Lara Pulver,10000.0,100189501.0,Action|Adventure|Sci-Fi,Tom Cruise,Noah Taylor,USA,PG-13,178000000.0,854.0,7.9,77000.0
